who wrote the movie Once Upon a Forest? Mark Young, Kelly Ward, Rae Lambert || SUBJECT: Once Upon a Forest || PREDICATE: screenwriter || OBJECT: Mark Young 
what words describe Valmont? romance, beautiful, 70mm, might like, anamorphic blow-up, colin firth, 18th century, milos forman, believable || SUBJECT: Valmont || PREDICATE: located in or next to body of water || OBJECT: colin firth 
how popular of a movie was Untamed Heart? highly watched || SUBJECT: Untamed Heart || PREDICATE: instance of || OBJECT: movie 
what does Paul Simon act in? One-Trick Pony || SUBJECT: Paul Simon || PREDICATE: member of || OBJECT: One-Trick Pony 
what does Paul Simon act in? One-Trick Pony || SUBJECT: One-Trick Pony || PREDICATE: has part || OBJECT: Paul Simon 
who acted in Becky Sharp? Cedric Hardwicke, Miriam Hopkins, Billie Burke, Frances Dee || SUBJECT: Becky Sharp || PREDICATE: cast member || OBJECT: Cedric Hardwicke 
who acted in Becky Sharp? Cedric Hardwicke, Miriam Hopkins, Billie Burke, Frances Dee || SUBJECT: Becky Sharp || PREDICATE: cast member || OBJECT: Miriam Hopkins 
who acted in Becky Sharp? Cedric Hardwicke, Miriam Hopkins, Billie Burke, Frances Dee || SUBJECT: Becky Sharp || PREDICATE: cast member || OBJECT: Billie Burke 
who acted in Becky Sharp? Cedric Hardwicke, Miriam Hopkins, Billie Burke, Frances Dee || SUBJECT: Becky Sharp || PREDICATE: cast member || OBJECT: Frances Dee 
who acted in the movie Club Dread? Nat Faxon, Dan Montgomery Jr., Elena Lyons, Tanja Reichert || SUBJECT: Club Dread || PREDICATE: cast member || OBJECT: Nat Faxon 
who acted in the movie Club Dread? Nat Faxon, Dan Montgomery Jr., Elena Lyons, Tanja Reichert || SUBJECT: Club Dread || PREDICATE: cast member || OBJECT: Dan Montgomery Jr. 
who acted in the movie Club Dread? Nat Faxon, Dan Montgomery Jr., Elena Lyons, Tanja Reichert || SUBJECT: Club Dread || PREDICATE: cast member || OBJECT: Elena Lyons 
who acted in the movie Club Dread? Nat Faxon, Dan Montgomery Jr., Elena Lyons, Tanja Reichert || SUBJECT: Club Dread || PREDICATE: cast member || OBJECT: Tanja Reichert 
who is the director that directed The Free Will? Matthias Glasner || SUBJECT: The Free Will || PREDICATE: director || OBJECT: Matthias Glasner 
how popular was Lord Jim? well known || SUBJECT: How popular was Lord Jim? || PREDICATE: main subject || OBJECT: Lord Jim 
which films are about grandfather? The Lost Boys, Flipped, An Unfinished Life, Damage, Wide Awake || SUBJECT: The Lost Boys || PREDICATE: followed by || OBJECT: Flipped 
