Lysipatha is a genus of moth in the family Gelechiidae . || SUBJECT: Lysipatha || PREDICATE: parent taxon || OBJECT: Gelechiidae 
The Marble Street Historic District encompasses what was once the principal business district of West Rutland , Vermont . Centered on Marble Street between Thrall Avenue and Smith Place , this area was the town 's economic hub during the years ( roughly 1885 to 1935 ) when the local marble quarries dominated the local economy . The area has also been bypassed as a transportation route , resulting in the preservation of a number of period commercial buildings . The district was listed on the National Register of Historic Places in 1990 . || SUBJECT: Marble Street Historic District || PREDICATE: located in the administrative territorial entity || OBJECT: West Rutland, Vermont 
Lumbovsky Gulf ( , Lumbovsky zaliv ) is a body of water off the northeastern coast of the Kola Peninsula , Murmansk Oblast , Russia . Lumbovka River flows to the gulf .     Category : Gulfs of Russia  Category : Gulfs of the Arctic Ocean  Category : Bays of Murmansk Oblast  Category : Bays of the White Sea || SUBJECT: Lumbovsky Gulf || PREDICATE: country || OBJECT: Russia 
Lumbovsky Gulf ( , Lumbovsky zaliv ) is a body of water off the northeastern coast of the Kola Peninsula , Murmansk Oblast , Russia . Lumbovka River flows to the gulf .     Category : Gulfs of Russia  Category : Gulfs of the Arctic Ocean  Category : Bays of Murmansk Oblast  Category : Bays of the White Sea || SUBJECT: Kola Peninsula || PREDICATE: located in the administrative territorial entity || OBJECT: Murmansk Oblast 
Lumbovsky Gulf ( , Lumbovsky zaliv ) is a body of water off the northeastern coast of the Kola Peninsula , Murmansk Oblast , Russia . Lumbovka River flows to the gulf .     Category : Gulfs of Russia  Category : Gulfs of the Arctic Ocean  Category : Bays of Murmansk Oblast  Category : Bays of the White Sea || SUBJECT: Kola Peninsula || PREDICATE: country || OBJECT: Russia 
Lumbovsky Gulf ( , Lumbovsky zaliv ) is a body of water off the northeastern coast of the Kola Peninsula , Murmansk Oblast , Russia . Lumbovka River flows to the gulf .     Category : Gulfs of Russia  Category : Gulfs of the Arctic Ocean  Category : Bays of Murmansk Oblast  Category : Bays of the White Sea || SUBJECT: Murmansk Oblast || PREDICATE: country || OBJECT: Russia 
Lumbovsky Gulf ( , Lumbovsky zaliv ) is a body of water off the northeastern coast of the Kola Peninsula , Murmansk Oblast , Russia . Lumbovka River flows to the gulf .     Category : Gulfs of Russia  Category : Gulfs of the Arctic Ocean  Category : Bays of Murmansk Oblast  Category : Bays of the White Sea || SUBJECT: Russia || PREDICATE: contains administrative territorial entity || OBJECT: Murmansk Oblast 
Lumbovsky Gulf ( , Lumbovsky zaliv ) is a body of water off the northeastern coast of the Kola Peninsula , Murmansk Oblast , Russia . Lumbovka River flows to the gulf .     Category : Gulfs of Russia  Category : Gulfs of the Arctic Ocean  Category : Bays of Murmansk Oblast  Category : Bays of the White Sea || SUBJECT: Lumbovka River || PREDICATE: located in the administrative territorial entity || OBJECT: Murmansk Oblast 
Lumbovsky Gulf ( , Lumbovsky zaliv ) is a body of water off the northeastern coast of the Kola Peninsula , Murmansk Oblast , Russia . Lumbovka River flows to the gulf .     Category : Gulfs of Russia  Category : Gulfs of the Arctic Ocean  Category : Bays of Murmansk Oblast  Category : Bays of the White Sea || SUBJECT: Lumbovka River || PREDICATE: country || OBJECT: Russia 
Manuel I may refer to :   Manuel I Comnenus , Byzantine emperor ( 1143 -- 1180 )  Manuel I of Trebizond , Emperor of Trebizond ( 1228 -- 1263 )  Manuel I of Portugal , King of Portugal ( 1496 -- 1521 )  Manuel I , Patriarch of Lisbon ( 1800 -- 1869 ) || SUBJECT: Manuel I Comnenus || PREDICATE: position held || OBJECT: Byzantine emperor 
Manuel I may refer to :   Manuel I Comnenus , Byzantine emperor ( 1143 -- 1180 )  Manuel I of Trebizond , Emperor of Trebizond ( 1228 -- 1263 )  Manuel I of Portugal , King of Portugal ( 1496 -- 1521 )  Manuel I , Patriarch of Lisbon ( 1800 -- 1869 ) || SUBJECT: Manuel I of Trebizond || PREDICATE: position held || OBJECT: Emperor of Trebizond 
Manuel I may refer to :   Manuel I Comnenus , Byzantine emperor ( 1143 -- 1180 )  Manuel I of Trebizond , Emperor of Trebizond ( 1228 -- 1263 )  Manuel I of Portugal , King of Portugal ( 1496 -- 1521 )  Manuel I , Patriarch of Lisbon ( 1800 -- 1869 ) || SUBJECT: Manuel I of Portugal || PREDICATE: position held || OBJECT: King of Portugal 
Makerere University School of Health Sciences ( MUSM ) , is one of the schools that constitute Makerere University College of Health Sciences ( MUCHS ) , a semi-autonomous constituent college of Makerere University , Uganda 's oldest university . The school was established in 2007 by consolidating the training offered by the University in the disciplines of Dentistry , Pharmacy , Nursing and Physical Therapy under one school . The school provides training in the health sciences at the diploma , undergraduate and postgraduate levels . || SUBJECT: Makerere University School of Health Sciences || PREDICATE: part of || OBJECT: Makerere University 
Makerere University School of Health Sciences ( MUSM ) , is one of the schools that constitute Makerere University College of Health Sciences ( MUCHS ) , a semi-autonomous constituent college of Makerere University , Uganda 's oldest university . The school was established in 2007 by consolidating the training offered by the University in the disciplines of Dentistry , Pharmacy , Nursing and Physical Therapy under one school . The school provides training in the health sciences at the diploma , undergraduate and postgraduate levels . || SUBJECT: Makerere University School of Health Sciences || PREDICATE: country || OBJECT: Uganda 
Makerere University School of Health Sciences ( MUSM ) , is one of the schools that constitute Makerere University College of Health Sciences ( MUCHS ) , a semi-autonomous constituent college of Makerere University , Uganda 's oldest university . The school was established in 2007 by consolidating the training offered by the University in the disciplines of Dentistry , Pharmacy , Nursing and Physical Therapy under one school . The school provides training in the health sciences at the diploma , undergraduate and postgraduate levels . || SUBJECT: Makerere University School of Health Sciences || PREDICATE: inception || OBJECT: 2007 
Makerere University School of Health Sciences ( MUSM ) , is one of the schools that constitute Makerere University College of Health Sciences ( MUCHS ) , a semi-autonomous constituent college of Makerere University , Uganda 's oldest university . The school was established in 2007 by consolidating the training offered by the University in the disciplines of Dentistry , Pharmacy , Nursing and Physical Therapy under one school . The school provides training in the health sciences at the diploma , undergraduate and postgraduate levels . || SUBJECT: Makerere University College of Health Sciences || PREDICATE: part of || OBJECT: Makerere University 
Makerere University School of Health Sciences ( MUSM ) , is one of the schools that constitute Makerere University College of Health Sciences ( MUCHS ) , a semi-autonomous constituent college of Makerere University , Uganda 's oldest university . The school was established in 2007 by consolidating the training offered by the University in the disciplines of Dentistry , Pharmacy , Nursing and Physical Therapy under one school . The school provides training in the health sciences at the diploma , undergraduate and postgraduate levels . || SUBJECT: Makerere University College of Health Sciences || PREDICATE: country || OBJECT: Uganda 
Makerere University School of Health Sciences ( MUSM ) , is one of the schools that constitute Makerere University College of Health Sciences ( MUCHS ) , a semi-autonomous constituent college of Makerere University , Uganda 's oldest university . The school was established in 2007 by consolidating the training offered by the University in the disciplines of Dentistry , Pharmacy , Nursing and Physical Therapy under one school . The school provides training in the health sciences at the diploma , undergraduate and postgraduate levels . || SUBJECT: Makerere University || PREDICATE: country || OBJECT: Uganda 
